game_id,round,season,encounter_cards_revealed,burdens_revealed_this_round,burden_applications_this_round,no_valid_target_burden_applications_this_round,strain_attempted_this_round,strain_placed_this_round,strain_prevented_by_supported_this_round,strain_removed_this_round,active_burdens_end_of_round,total_strain_tokens_end_of_round,tiles_at_1_strain_end_of_round,tiles_at_2_strain_end_of_round,overstrained_tiles_end_of_round,population_end_of_round,renown_end_of_round
sim-balanced-1p-001,1,I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-1p-001,2,I,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
sim-balanced-1p-001,3,I,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0
sim-balanced-1p-001,4,I,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0
sim-balanced-1p-001,5,II,1,0,0,0,0,0,0,0,0,0,0,0,0,61,10
sim-balanced-1p-001,6,II,1,0,0,0,0,0,0,0,0,0,0,0,0,61,15
sim-balanced-1p-001,7,II,1,0,0,0,0,0,0,0,0,0,0,0,0,68,35
sim-balanced-1p-001,8,II,1,1,1,1,0,0,0,0,0,0,0,0,0,78,45
sim-balanced-1p-001,9,III,1,0,0,0,0,0,0,0,0,0,0,0,0,83,45
sim-balanced-1p-001,10,III,1,0,0,0,0,0,0,0,0,0,0,0,0,88,45
sim-balanced-1p-001,11,III,1,1,1,1,0,0,0,0,1,0,0,0,0,88,45
sim-balanced-1p-001,12,III,1,1,1,0,1,1,0,0,1,1,1,0,0,103,45
sim-balanced-2p-001,1,I,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-001,2,I,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
sim-balanced-2p-001,3,I,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5
sim-balanced-2p-001,4,I,2,0,0,0,1,1,0,0,0,1,1,0,0,5,20
sim-balanced-2p-001,5,II,2,0,0,0,0,0,0,0,0,1,1,0,0,29,25
sim-balanced-2p-001,6,II,2,0,0,0,0,0,0,0,0,1,1,0,0,34,76
sim-balanced-2p-001,7,II,2,0,0,0,1,1,0,0,0,2,2,0,0,34,93
sim-balanced-2p-001,8,II,2,2,3,0,3,1,2,0,1,3,3,0,0,34,102
sim-balanced-2p-001,9,III,2,0,0,0,0,0,0,0,1,3,3,0,0,34,102
sim-balanced-2p-001,10,III,2,1,1,1,0,0,0,0,2,3,3,0,0,34,102
sim-balanced-2p-001,11,III,2,1,1,0,1,0,1,0,3,3,3,0,0,34,102
sim-balanced-2p-001,12,III,2,1,1,0,3,2,1,0,3,5,5,0,0,34,102
sim-balanced-3p-001,1,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15
sim-balanced-3p-001,2,I,3,1,1,0,1,1,0,0,0,1,1,0,0,10,26
sim-balanced-3p-001,3,I,3,0,0,0,0,0,0,0,0,1,1,0,0,10,41
sim-balanced-3p-001,4,I,3,1,1,0,1,1,0,0,0,2,2,0,0,10,41
sim-balanced-3p-001,5,II,3,0,0,0,0,0,0,0,0,2,2,0,0,25,61
sim-balanced-3p-001,6,II,3,2,2,2,2,2,0,0,1,2,2,0,0,30,62
sim-balanced-3p-001,7,II,3,0,0,0,2,2,0,0,1,4,4,0,0,71,67
sim-balanced-3p-001,8,II,3,3,4,2,5,5,0,2,1,7,7,0,0,76,72
